hex,color
#000000,black
#000200,black
#000400,black
#000900,black
#000a00,black
#000b00,black
#000c00,black
#000d00,black
#000001,black
#000301,black
#000401,black
#000801,black
#000a01,black
#000b01,black
#000102,black
#000302,black
#000502,black
#000702,black
#000902,black
#000a02,black
#000b02,black
#000c02,black
#000f02,black
#000003,black
#000103,black
#000203,black
#000603,black
#000903,black
#000a03,black
#000e03,black
#000f03,black
#000004,black
#000204,black
#000304,black
#000904,black
#000b04,black
#000d04,black
#000205,black
#000305,black
#000505,black
#000605,black
#000805,black
#000905,black
#000b05,black
#000c05,black
#000d05,black
#000f05,black
#000306,black
#000806,black
#000b06,black
#000d06,black
#000f06,black
#000307,black
#000407,black
#000507,black
#000607,black
#000807,black
#000d07,black
#000e07,black
#000f07,black
#000108,black
#000408,black
#000808,black
#000908,black
#000c08,black
#000d08,black
#000f08,black
#000009,black
#000409,black
#000609,black
#000909,black
#000a09,black
#000b09,black
#000e09,black
#00020a,black
#00030a,black
#00040a,black
#00050a,black
#00070a,black
#00090a,black
#000a0a,black
#000b0a,black
#000e0a,black
#00010b,black
#00020b,black
#00040b,black
#00090b,black
#000a0b,black
#000b0b,black
#000c0b,black
#000d0b,black
#000e0b,black
#00000c,black
#00050c,black
#00060c,black
#00070c,black
#00090c,black
#000a0c,black
#000d0c,black
#000e0c,black
#000f0c,black
#00010d,black
#00020d,black
#00030d,black
#00070d,black
#000b0d,black
#000e0d,black
#000f0d,black
#00000e,black
#00010e,black
#00020e,black
#00030e,black
#00050e,black
#00080e,black
#00090e,black
#000a0e,black
#000b0e,black
#000d0e,black
#000f0e,black
#00010f,black
#00030f,black
#00050f,black
#00060f,black
#00070f,black
#000c0f,black
#001100,black
#001300,black
#001400,green
#001500,green
#001800,green
#001a00,green
#001b00,green
#001c00,green
#001f00,green
#001001,black
#001101,black
#001401,green
#001501,green
#001601,green
#001a01,green
#001b01,green
#001c01,green
#001d01,green
#001f01,green
#001002,black
#001202,black
#001602,green
#001702,green
#001802,green
#001902,green
#001b02,green
#001c02,green
#001d02,green
#001e02,green
#001003,black
#001103,black
#001203,black
#001303,black
#001503,green
#001b03,green
#001c03,green
#001e03,green
#001104,black
#001204,black
#001604,green
#001804,green
#001904,green
#001b04,green
#001f04,green
#001005,black
#001105,black
#001205,black
#001505,green
#001805,green
#001905,green
#001c05,green
#001d05,green
#001306,black
#001506,green
#001606,green
#001706,green
#001a06,green
#001c06,green
#001d06,green
#001007,black
#001107,black
#001307,black
#001407,green
